siren,etatAdministratifUniteLegale,nomUniteLegale,nomUsageUniteLegale,denominationUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,dateDernierTraitementUniteLegale,caractereEmployeurUniteLegale,identifiantAssociationUniteLegale
007050123,A,,,SOCIETE DES ETABLISSEMENTS H. GUIGUES,,,,2020-02-01T04:05:09,O,
007050149,A,,,SARL DURANCE BETON,,,,2019-06-24T13:04:22,O,
007080013,A,,,SOCIETE COOPERATIVE MARITIME DU CROISIC,,,,2019-06-25T16:00:20,O,
007080021,A,,,SOCIETE COOPERATIVE D'APPROVISIONNEMENT DE L'OUEST,,,,2019-08-05T20:04:49,O,
007080039,A,,,BIJOUTERIE GAUCHER,,,,2019-06-24T13:04:22,O,
007080054,A,,,LOUIS HEMERY,,,,2019-08-05T20:04:49,O,
007080229,A,,,ENTREPRISE ROUAUD,,,,2019-06-28T03:35:59,O,
007080260,A,,,SAINT-NAZAIRE DISTRIBUTION,INTERMARCHE,,,2019-06-24T13:04:22,O,
007080443,A,,,LAITERIE DU GRAND CLOS,,,,2019-07-11T03:42:13,O,
007080708,A,,,SOCIETE PROMOTIONNELLE D'OPTIQUE,OPTIC 2000,,,2019-06-24T13:04:22,O,
007080757,A,,,CNI,,,,2019-06-24T13:04:22,O,
007080773,A,,,CARRIERS MEN ARVOR,,,,2020-02-19T03:35:19,O,
007120033,A,,,TERNOIS ELECTROLYSE,,,,2013-12-10T23:15:15,O,
007120066,A,,,SOCIETE LECLERC IMPRIMERIE,,,,2019-06-24T13:04:22,O,
007120082,A,,,ENTREPRISE DE BATIMENT FLAQUET,,,,2019-06-24T13:04:22,O,
007120108,A,,,BRUNELLE PRESSING,CENTRAL PRESS ECO,,,2019-06-24T13:04:22,O,
007120231,A,,,ENTREPRISE BARRE,,,,2019-10-03T03:54:41,O,
007150030,A,,,SARL HOTEL LE SAINT JEAN,,,,2019-06-24T13:04:22,O,
007150303,A,,,D. MAFFREN,,,,2019-06-25T16:00:20,O,
007173248,A,CHICAUD,,,SALON JEAN CHRISTIAN LAURENT,,,2019-06-24T13:04:22,O,
007180227,A,,,SARL ATLANTIC GARAGE,,,,2007-04-21T10:35:06,O,
007180326,A,,,SERVICES ET INSTRUMENTS DE GEOPHYSIQUE,,,,2019-06-24T13:04:22,O,
007180516,A,,,SOCIETE NAZAIRIENNE DE DEVELOPPEMENT,SONADEV,,,2019-10-29T03:50:05,O,
007180532,A,,,CENTRE AUTOMOBILE DE L'ETOILE,,,,2019-09-05T03:34:07,O,
007211253,A,HAQUET,,,PICARDIE GARAGE HAQUET,,,2019-06-24T13:04:22,O,
007220163,A,,,HOTEL RESTAURANT DE LA MAYE,,,,2013-12-10T23:15:15,O,
007220197,A,,,ETABLISSEMENTS VAN-DER-VOORDE ET FILS,,,,2014-11-27T04:23:46,O,
007220338,A,,,SOCIETE VANNERIE CANDAS FRERES,LES CHARPAGNES - LES CROQUINES,,,2019-06-24T13:04:22,O,
007250046,A,,,GALERIES PARISIENNES,GALERIES PARISI,,,2014-07-11T23:15:13,O,
007250053,A,,,L.M.E. TROUCHE HOLDING,,,,2019-09-12T04:03:46,O,
007250202,A,,,ENTREPRISE PIERRE PESCE,,,,2019-06-24T13:04:23,O,
007250228,A,,,CHARPENTES ET MENUISERIES DE L'UBAYE,,,,2013-02-22T08:22:29,O,
007272123,A,ORDRENNEAU,,,,,,2017-05-20T01:00:52,O,
007280217,A,,,PONT CHATEAU DISTRIBUTION,INTERMARCHE,,,2019-09-18T03:35:22,O,
007280266,A,,,GRPT ENSEIGNEMENT PUBLIC ET ASS LAIQUES,,,,2019-06-24T13:04:23,O,
007280308,A,,,SARL POMMIER,,,,2019-06-24T13:04:23,O,
007280365,A,,,ATLAGEL,,,,2019-06-24T13:04:23,O,
